product_id,sku,product_name,category,sub_category,brand,brand_tier,cost_price,selling_price,margin_pct,shelf_life_days,storage_type,promotion_sensitivity,price_elasticity,seasonality
P00000,SKU000000,EasyBuy Yogurt,Dairy,Yogurt,EasyBuy,Value,6.35,7.87,0.24,124,Ambient,0.15,-0.5,All
P00001,SKU000001,UrbanSelect Toothpaste,Personal Care,Toothpaste,UrbanSelect,Mid,0.65,0.94,0.45,296,Ambient,0.99,-0.3,All
P00002,SKU000002,DailyMart Energy Drink,Beverages,Energy Drink,DailyMart,Mid,3.74,5.03,0.34,61,Ambient,0.14,-1.2,All
P00003,SKU000003,DailyMart Trail Mix,Snacks,Trail Mix,DailyMart,Mid,0.85,1.18,0.39,23,Ambient,0.11,-1.5,All
P00004,SKU000004,QuickChoice Soap,Household,Soap,QuickChoice,Mid,2.78,3.65,0.31,342,Ambient,0.71,-0.2,All
P00005,SKU000005,FreshPeak Toothpaste,Personal Care,Toothpaste,FreshPeak,Premium,2.44,3.94,0.62,4,Ambient,0.29,-0.3,All
P00006,SKU000006,UrbanBrew Gummies,Candy,Gummies,UrbanBrew,Premium,6.31,10.63,0.68,272,Refrigerated,0.39,-1.6,All
P00007,SKU000007,FreshPeak Yogurt,Dairy,Yogurt,FreshPeak,Premium,3.42,5.19,0.52,55,Ambient,0.97,-0.5,All
P00008,SKU000008,StoreBasics Tissue,Household,Tissue,StoreBasics,Value,0.62,0.75,0.21,131,Ambient,0.1,-0.2,All
P00009,SKU000009,EasyBuy Chips,Snacks,Chips,EasyBuy,Value,6.28,7.29,0.16,233,Ambient,0.92,-1.5,All
P00010,SKU000010,DailyMart Soap,Household,Soap,DailyMart,Mid,0.98,1.32,0.35,218,Ambient,0.63,-0.2,All
P00011,SKU000011,UrbanSelect Ice Cream,Frozen,Ice Cream,UrbanSelect,Mid,1.4,1.97,0.41,259,Refrigerated,0.31,-0.7,Summer
P00012,SKU000012,UrbanSelect Milk,Dairy,Milk,UrbanSelect,Mid,1.33,1.82,0.37,181,Ambient,0.67,-0.5,All
P00013,SKU000013,QuickChoice Chocolate,Candy,Chocolate,QuickChoice,Mid,1.54,2.14,0.39,145,Refrigerated,0.31,-1.6,Winter
P00014,SKU000014,QuickChoice Milk,Dairy,Milk,QuickChoice,Mid,5.18,6.96,0.34,136,Ambient,0.3,-0.5,All
P00015,SKU000015,ValuePlus Gummies,Candy,Gummies,ValuePlus,Value,1.42,1.71,0.2,192,Ambient,0.31,-1.6,All
P00016,SKU000016,UrbanSelect Soap,Household,Soap,UrbanSelect,Mid,0.55,0.76,0.38,139,Ambient,0.72,-0.2,All
P00017,SKU000017,FreshPeak Toothpaste,Personal Care,Toothpaste,FreshPeak,Premium,3.53,5.18,0.47,54,Ambient,0.73,-0.3,All
P00018,SKU000018,FreshPeak Chips,Snacks,Chips,FreshPeak,Premium,2.5,4.24,0.69,222,Ambient,0.35,-1.5,All
P00019,SKU000019,QuickChoice Soda,Beverages,Soda,QuickChoice,Mid,4.48,6.12,0.37,200,Ambient,0.7,-1.2,All
P00020,SKU000020,QuickChoice Toothpaste,Personal Care,Toothpaste,QuickChoice,Mid,3.26,4.55,0.39,200,Ambient,0.83,-0.3,All
P00021,SKU000021,QuickChoice Soda,Beverages,Soda,QuickChoice,Mid,5.72,8.17,0.43,254,Ambient,0.11,-1.2,All
P00022,SKU000022,UrbanSelect Nachos,Snacks,Nachos,UrbanSelect,Mid,1.81,2.54,0.4,130,Ambient,0.85,-1.5,All
P00023,SKU000023,UrbanSelect Tissue,Household,Tissue,UrbanSelect,Mid,7.08,9.48,0.34,254,Ambient,0.98,-0.2,All
P00024,SKU000024,DailyMart Bars,Candy,Bars,DailyMart,Mid,1.2,1.72,0.43,39,Refrigerated,0.27,-1.6,All
